epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1721.74,0.50595,0.41096,0.81882,0.92002,0.89637,0.94267,0.78374,0.4966,0.41661,0.79838,0.0010125,0.0010125,0.0010125
78,1743.99,0.48411,0.39981,0.8127,0.92611,0.90019,0.94644,0.80841,0.44413,0.39364,0.79422,0.00100938,0.00100938,0.00100938
79,1766.28,0.4849,0.4012,0.81776,0.93159,0.89198,0.94735,0.80832,0.46242,0.38109,0.79818,0.00100625,0.00100625,0.00100625
80,1788.58,0.491,0.40633,0.81527,0.92432,0.8971,0.94248,0.81391,0.44012,0.39015,0.79211,0.00100313,0.00100313,0.00100313
81,1810.78,0.4834,0.403,0.81286,0.9463,0.88274,0.94737,0.81953,0.44352,0.37647,0.79383,0.001,0.001,0.001
82,1833.26,0.48852,0.40244,0.8144,0.94165,0.88681,0.94484,0.81339,0.44665,0.37807,0.79244,0.000996875,0.000996875,0.000996875
83,1855.52,0.47995,0.39689,0.81513,0.93,0.87711,0.9455,0.80985,0.45348,0.38204,0.79451,0.00099375,0.00099375,0.00099375
84,1877.8,0.48035,0.39553,0.81463,0.92863,0.88237,0.94786,0.8229,0.41574,0.38318,0.79015,0.000990625,0.000990625,0.000990625
85,1899.93,0.4762,0.39115,0.81435,0.93486,0.88955,0.94784,0.81964,0.41716,0.3716,0.79193,0.0009875,0.0009875,0.0009875
86,1922.16,0.48167,0.39627,0.81408,0.92712,0.89207,0.94454,0.80617,0.46477,0.38377,0.79352,0.000984375,0.000984375,0.000984375
87,1944.5,0.50102,0.40531,0.81258,0.92704,0.90368,0.95055,0.80912,0.46964,0.38313,0.79689,0.00098125,0.00098125,0.00098125
88,1966.84,0.48305,0.39516,0.81294,0.93406,0.88186,0.94682,0.82243,0.40983,0.37315,0.78926,0.000978125,0.000978125,0.000978125
89,1989.09,0.47909,0.3948,0.81225,0.94001,0.89284,0.94522,0.80799,0.46616,0.37661,0.79339,0.000975,0.000975,0.000975
90,2011.37,0.48379,0.38948,0.8116,0.93783,0.88011,0.94824,0.81314,0.44995,0.37347,0.79213,0.000971875,0.000971875,0.000971875
91,2033.7,0.47596,0.38572,0.8118,0.94415,0.8723,0.94958,0.81959,0.43174,0.38259,0.792,0.00096875,0.00096875,0.00096875
92,2055.97,0.4801,0.38877,0.81332,0.93167,0.89657,0.95089,0.82025,0.42821,0.37352,0.79144,0.000965625,0.000965625,0.000965625
93,2078.19,0.47382,0.3861,0.81166,0.95121,0.88782,0.94927,0.82065,0.44662,0.37179,0.79155,0.0009625,0.0009625,0.0009625
94,2100.45,0.48004,0.38461,0.81244,0.94759,0.88776,0.95006,0.81837,0.4377,0.36759,0.79023,0.000959375,0.000959375,0.000959375
95,2122.71,0.4703,0.37809,0.80958,0.93263,0.89197,0.94969,0.81895,0.43361,0.36453,0.79022,0.00095625,0.00095625,0.00095625
